GEO_ID,NAME,S1701_C01_001E,Population Estimate,Estimate!!Total!!Population for whom poverty status is determined!!AGE!!18 to 64 years,Estimate!!Total!!Population for whom poverty status is determined!!AGE!!Under 18 years
72001,"Adjuntas Municipio, Puerto Rico",17837,17363,10850,3676
72003,"Aguada Municipio, Puerto Rico",37858,36694,24102,6869
72005,"Aguadilla Municipio, Puerto Rico",51651,50265,30359,10320
72007,"Aguas Buenas Municipio, Puerto Rico",25600,24814,15783,5047
72009,"Aibonito Municipio, Puerto Rico",22974,22108,13979,4435
72011,"Añasco Municipio, Puerto Rico",26783,26161,16550,4939
72013,"Arecibo Municipio, Puerto Rico",84713,81966,50826,16052
72015,"Arroyo Municipio, Puerto Rico",17791,17238,10581,3886
72017,"Barceloneta Municipio, Puerto Rico",24069,23727,14615,4906
72019,"Barranquitas Municipio, Puerto Rico",28138,27725,17531,6348
72021,"Bayamón Municipio, Puerto Rico",173047,169269,103978,32295
72023,"Cabo Rojo Municipio, Puerto Rico",48273,47515,28596,8866
72025,"Caguas Municipio, Puerto Rico",128276,124606,78557,24829
72027,"Camuy Municipio, Puerto Rico",31500,30504,19519,5940
72029,"Canóvanas Municipio, Puerto Rico",45316,44674,28406,9426
72031,"Carolina Municipio, Puerto Rico",153020,146984,91712,28420
72033,"Cataño Municipio, Puerto Rico",24250,23121,14696,4942
72035,"Cayey Municipio, Puerto Rico",43714,42409,26737,8280
72037,"Ceiba Municipio, Puerto Rico",11513,10904,6713,2173
72039,"Ciales Municipio, Puerto Rico",16363,15808,9998,3185
72041,"Cidra Municipio, Puerto Rico",39484,38307,24875,7987
72043,"Coamo Municipio, Puerto Rico",38867,38336,24292,7910
72045,"Comerío Municipio, Puerto Rico",19148,18648,11923,3859
72047,"Corozal Municipio, Puerto Rico",33262,32293,20420,7096
72049,"Culebra Municipio, Puerto Rico",1291,1714,750,235
72051,"Dorado Municipio, Puerto Rico",36764,36141,22536,8028
72053,"Fajardo Municipio, Puerto Rico",30988,29454,18127,6242
72054,"Florida Municipio, Puerto Rico",11684,11317,7198,2441
72055,"Guánica Municipio, Puerto Rico",16280,15383,9212,3311
72057,"Guayama Municipio, Puerto Rico",38730,39465,23347,8317
72059,"Guayanilla Municipio, Puerto Rico",18447,17623,10935,3866
72061,"Guaynabo Municipio, Puerto Rico",86529,83728,53728,14446
72063,"Gurabo Municipio, Puerto Rico",46698,47093,29964,9650
72065,"Hatillo Municipio, Puerto Rico",39845,39218,24618,7470
72067,"Hormigueros Municipio, Puerto Rico",15905,15518,8915,2699
72069,"Humacao Municipio, Puerto Rico",52171,50653,31284,9948
72071,"Isabela Municipio, Puerto Rico",41397,40423,25714,7813
72073,"Jayuya Municipio, Puerto Rico",14258,13891,8702,3230
72075,"Juana Díaz Municipio, Puerto Rico",45748,44679,27971,9917
72077,"Juncos Municipio, Puerto Rico",38718,38155,24404,8324
72079,"Lajas Municipio, Puerto Rico",22789,22010,13315,4141
72081,"Lares Municipio, Puerto Rico",25441,24276,15532,4887
72083,"Las Marías Municipio, Puerto Rico",8286,7927,4951,1726
72085,"Las Piedras Municipio, Puerto Rico",37412,37007,23373,7587
72087,"Loíza Municipio, Puerto Rico",25746,24553,15979,5404
72089,"Luquillo Municipio, Puerto Rico",18050,17665,10730,3514
72091,"Manatí Municipio, Puerto Rico",38680,37287,22940,7803
72093,"Maricao Municipio, Puerto Rico",6075,5430,3746,1160
72095,"Maunabo Municipio, Puerto Rico",10770,10321,6389,2064
72097,"Mayagüez Municipio, Puerto Rico",74251,71530,44036,12944
72099,"Moca Municipio, Puerto Rico",35982,34891,22573,7462
72101,"Morovis Municipio, Puerto Rico",30880,30335,19647,6505
72103,"Naguabo Municipio, Puerto Rico",25982,25761,15712,5754
72105,"Naranjito Municipio, Puerto Rico",28056,27349,17229,5682
72107,"Orocovis Municipio, Puerto Rico",20876,20220,13060,4445
72109,"Patillas Municipio, Puerto Rico",16929,16211,10191,3163
72111,"Peñuelas Municipio, Puerto Rico",20340,19249,12459,4640
72113,"Ponce Municipio, Puerto Rico",136683,131881,79996,27892
72115,"Quebradillas Municipio, Puerto Rico",23585,22918,14343,4624
72117,"Rincón Municipio, Puerto Rico",14013,13656,8226,2435
72119,"Río Grande Municipio, Puerto Rico",49068,48025,30073,9551
72121,"Sabana Grande Municipio, Puerto Rico",22443,21712,13098,4447
72123,"Salinas Municipio, Puerto Rico",28017,27128,16622,6135
72125,"San Germán Municipio, Puerto Rico",30725,30227,17507,5821
72127,"San Juan Municipio, Puerto Rico",330713,318441,198445,60648
72129,"San Lorenzo Municipio, Puerto Rico",37153,35989,23323,7118
72131,"San Sebastián Municipio, Puerto Rico",36991,35528,21549,7154
72133,"Santa Isabel Municipio, Puerto Rico",21757,21209,13487,4826
72135,"Toa Alta Municipio, Puerto Rico",72695,72025,47610,15236
72137,"Toa Baja Municipio, Puerto Rico",77514,74271,47728,15299
72139,"Trujillo Alto Municipio, Puerto Rico",66049,63674,40872,13154
72141,"Utuado Municipio, Puerto Rico",28622,27395,17021,5642
72143,"Vega Alta Municipio, Puerto Rico",36526,36061,22063,7913
72145,"Vega Baja Municipio, Puerto Rico",51983,50023,31635,10315
72147,"Vieques Municipio, Puerto Rico",8603,8386,5097,1657
72149,"Villalba Municipio, Puerto Rico",22263,21372,13755,4778
72151,"Yabucoa Municipio, Puerto Rico",33446,32282,20388,6431
72153,"Yauco Municipio, Puerto Rico",35228,33575,21093,6716
